Date,Price,Open,High,Low,Vol.,Change
2018/1/2,"2,479.65","2,474.86","2,481.02","2,465.94",262.20M,0.0049
2018/1/3,"2,486.35","2,484.63","2,493.40","2,481.91",331.10M,0.0027
2018/1/4,"2,466.46","2,502.50","2,502.50","2,466.45",333.84M,-0.008
2018/1/5,"2,497.52","2,476.85","2,497.52","2,475.51",308.77M,0.0126
2018/1/8,"2,513.28","2,510.70","2,515.37","2,494.18",311.43M,0.0063
2018/1/9,"2,510.23","2,510.73","2,524.73","2,498.41",374.32M,-0.0012
2018/1/10,"2,499.75","2,516.33","2,516.82","2,493.98",444.02M,-0.0042
2018/1/11,"2,487.91","2,496.86","2,502.52","2,483.82",444.34M,-0.0047
2018/1/12,"2,496.42","2,499.87","2,500.87","2,482.15",438.78M,0.0034
2018/1/15,"2,503.73","2,510.97","2,513.30","2,496.18",404.55M,0.0029
2018/1/16,"2,521.74","2,504.16","2,524.55","2,498.55",341.61M,0.0072
2018/1/17,"2,515.43","2,517.19","2,521.97","2,506.49",336.71M,-0.0025
2018/1/18,"2,515.81","2,527.67","2,532.08","2,512.69",333.11M,0.0002
2018/1/19,"2,520.26","2,519.67","2,524.33","2,513.09",351.84M,0.0018
2018/1/22,"2,502.11","2,516.90","2,517.12","2,488.44",342.99M,-0.0072
2018/1/23,"2,536.60","2,510.35","2,536.60","2,507.96",370.01M,0.0138
2018/1/24,"2,538.00","2,533.86","2,547.22","2,531.31",371.09M,0.0006
2018/1/25,"2,562.23","2,536.96","2,564.43","2,536.73",514.60M,0.0095
2018/1/26,"2,574.76","2,560.69","2,574.76","2,553.53",400.65M,0.0049
2018/1/29,"2,598.19","2,588.87","2,607.10","2,587.55",437.48M,0.0091
2018/1/30,"2,567.74","2,590.41","2,599.17","2,567.07",397.04M,-0.0117
2018/1/31,"2,566.46","2,557.37","2,597.14","2,553.01",403.05M,-0.0005
2018/2/1,"2,568.54","2,578.91","2,583.74","2,564.59",595.15M,0.0008
2018/2/2,"2,525.39","2,565.99","2,565.99","2,519.60",481.82M,-0.0168
2018/2/5,"2,491.75","2,487.34","2,503.99","2,476.24",442.35M,-0.0133
2018/2/6,"2,453.31","2,437.02","2,460.28","2,409.38",582.84M,-0.0154
2018/2/7,"2,396.56","2,483.72","2,484.18","2,396.56",460.08M,-0.0231
2018/2/8,"2,407.62","2,400.17","2,423.88","2,393.46",362.42M,0.0046
2018/2/9,"2,363.77","2,346.73","2,372.90","2,346.73",489.11M,-0.0182
2018/2/12,"2,385.38","2,380.49","2,397.90","2,367.31",352.29M,0.0091
2018/2/13,"2,395.19","2,402.89","2,421.80","2,388.54",423.42M,0.0041
2018/2/14,"2,421.83","2,412.47","2,426.63","2,408.02",305.74M,0.0111
2018/2/19,"2,442.82","2,452.52","2,455.12","2,428.15",322.14M,0.0087
2018/2/20,"2,415.12","2,433.35","2,438.48","2,411.23",421.49M,-0.0113
2018/2/21,"2,429.65","2,417.73","2,432.45","2,404.02",432.28M,0.006
2018/2/22,"2,414.28","2,417.18","2,422.62","2,405.23",349.49M,-0.0063
2018/2/23,"2,451.52","2,427.13","2,451.52","2,427.13",300.58M,0.0154
2018/2/26,"2,457.65","2,465.35","2,466.08","2,447.86",321.26M,0.0025
2018/2/27,"2,456.14","2,474.08","2,480.79","2,456.14",271.23M,-0.0006
2018/2/28,"2,427.36","2,447.11","2,460.12","2,426.21",367.56M,-0.0117
2018/3/2,"2,402.16","2,406.57","2,410.34","2,387.25",320.40M,-0.0104
2018/3/5,"2,375.06","2,405.92","2,407.98","2,374.80",312.25M,-0.0113
2018/3/6,"2,411.41","2,400.67","2,413.01","2,392.87",400.11M,0.0153
2018/3/7,"2,401.82","2,413.39","2,429.43","2,395.24",412.97M,-0.004
2018/3/8,"2,433.08","2,420.67","2,433.08","2,407.59",394.85M,0.013
2018/3/9,"2,459.45","2,443.43","2,476.43","2,436.03",437.26M,0.0108
2018/3/12,"2,484.12","2,485.64","2,489.46","2,474.91",391.30M,0.01
2018/3/13,"2,494.49","2,483.05","2,494.49","2,478.76",350.20M,0.0042
2018/3/14,"2,486.08","2,477.43","2,486.98","2,474.77",360.87M,-0.0034
2018/3/15,"2,492.38","2,486.00","2,496.51","2,471.04",344.01M,0.0025
2018/3/16,"2,493.97","2,495.11","2,497.80","2,476.88",377.77M,0.0006
2018/3/19,"2,475.03","2,491.99","2,493.56","2,470.91",477.22M,-0.0076
2018/3/20,"2,485.52","2,456.80","2,485.52","2,456.80",291.50M,0.0042
2018/3/21,"2,484.97","2,488.22","2,492.88","2,483.78",399.07M,-0.0002
2018/3/22,"2,496.02","2,494.84","2,508.71","2,485.34",482.14M,0.0044
2018/3/23,"2,416.76","2,446.73","2,450.40","2,412.62",457.95M,-0.0318
2018/3/26,"2,437.08","2,414.68","2,437.08","2,399.44",306.90M,0.0084
2018/3/27,"2,452.06","2,455.00","2,456.55","2,444.92",332.13M,0.0061
2018/3/28,"2,419.29","2,425.94","2,430.77","2,409.47",501.31M,-0.0134
2018/3/29,"2,436.37","2,421.70","2,439.47","2,413.71",333.36M,0.0071
2018/3/30,"2,445.85","2,454.10","2,458.24","2,445.72",395.33M,0.0039
2018/4/2,"2,444.16","2,454.72","2,467.52","2,440.89",390.32M,-0.0007
2018/4/3,"2,442.43","2,422.26","2,442.43","2,416.44",497.14M,-0.0007
2018/4/4,"2,408.06","2,447.97","2,447.97","2,405.91",551.70M,-0.0141
2018/4/5,"2,437.52","2,426.92","2,446.78","2,420.92",591.04M,0.0122
2018/4/6,"2,429.58","2,420.88","2,433.97","2,417.24",454.31M,-0.0033
